#OTUId	18.SPF.CD	11.CON.HFD	20.SPF.HFD	24.SPF.HFD	2.CON.HFD	23.SPF.HFD	17.SPF.CD	1.CON.CD	3.CON.CD	13.SPF.CD	21.SPF.HFD	14.SPF.CD	16.SPF.CD	10.CON.HFD	12.CON.CD	15.SPF.CD	22.SPF.HFD	9.CON.CD	5.CON.CD	6.CON.HFD	8.CON.HFD	19.SPF.HFD	7.CON.CD	4.CON.HFD	taxonomy
OTU_1	1871	1820	2745	4952	4294	4470	2241	46	5	1437	3814	466	880	1396	46	860	1196	410	53	6	2100	2623	2	1899	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_3	2414	367	2056	1215	223	1928	1280	53	475	1315	372	2308	1309	473	2634	2792	92	3146	1679	1591	763	1043	2083	988	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;
OTU_12	1142	30	370	279	330	161	1044	482	1488	1024	14	228	63	77	307	403	101	614	490	265	55	560	158	53	Bacteria;Bacteroidetes;;;;;
OTU_31	236	269	88	244	197	156	168	215	34	156	282	123	242	197	147	125	163	69	165	224	211	118	220	194	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;;
OTU_16	224	432	196	318	201	210	144	263	47	182	515	143	464	318	193	253	179	47	353	262	296	205	387	229	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Clostridium XlVb;
OTU_13	376	68	144	27	202	81	1233	1443	1691	1319	10	1306	550	66	1659	670	46	681	1750	157	84	14	315	88	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;;
OTU_2	1304	25	362	339	11	145	3766	3794	1410	2136	135	4471	5196	25	948	1851	895	2475	2455	1	2	115	1527	2	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides;
OTU_34	209	804	36	18	190	4	231	166	232	2	136	214	618	342	0	269	69	3	6	22	257	120	229	348	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;;
OTU_46	270	108	152	44	119	79	333	262	230	445	77	405	235	161	357	318	86	247	57	218	88	75	26	101	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;;
OTU_9	777	473	326	1152	578	165	519	232	526	633	770	510	115	382	576	614	200	914	297	611	106	97	221	91	Bacteria;Firmicutes;Clostridia;Clostridiales;;;
OTU_19	192	24	93	147	316	239	188	77	5	202	331	71	45	80	228	51	394	29	460	404	371	434	76	681	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;;
OTU_45	158	34	72	25	138	89	71	65	155	115	10	39	67	32	125	75	31	357	153	100	27	105	120	63	Bacteria;Bacteroidetes;;;;;
OTU_28	322	53	1071	573	338	994	205	491	140	308	558	167	135	216	188	268	643	250	178	219	77	543	722	136	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;
OTU_50	243	52	78	19	135	53	142	162	233	145	6	75	119	54	175	117	57	409	221	137	70	80	271	76	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;;
OTU_6	549	398	1902	602	920	1155	312	527	744	431	229	199	373	595	546	399	882	1157	505	1050	534	555	1281	835	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;
OTU_62	98	5	12	1	4	11	89	6	3	659	0	49	9	8	16	53	1	0	3	7	15	1	1	4	Bacteria;Firmicutes;;;;;
OTU_25	568	5	70	2	43	44	409	65	44	691	10	413	215	29	310	523	32	297	52	21	13	37	6	8	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;;
OTU_15	156	343	97	575	324	329	113	74	43	124	880	84	119	656	134	104	836	32	115	289	232	708	82	298	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;;
OTU_59	131	4	4	49	91	2	112	134	49	119	28	76	157	7	60	111	2	32	207	63	51	3	18	158	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;;
OTU_81	133	109	43	100	145	48	95	42	7	64	116	122	219	63	226	85	151	74	56	172	175	58	47	216	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
OTU_48	323	8	45	1	13	20	411	198	1713	1006	0	658	192	0	434	965	6	203	994	23	11	7	247	10	Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;;
OTU_11	542	484	94	374	1308	505	287	234	31	335	494	531	402	720	339	34	99	24	151	860	1575	294	178	1517	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;;
OTU_49	90	43	45	96	263	37	109	26	56	82	40	120	35	19	44	68	15	45	27	108	108	3	12	90	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;;
OTU_42	83	243	61	28	167	26	35	74	13	43	39	46	51	149	33	49	43	17	136	193	197	77	121	209	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;;
OTU_30	272	66	64	290	55	47	152	58	132	252	81	184	291	87	158	229	37	506	97	81	36	3	97	17	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;;
