#SampleID	Cholic_acid	Muricholic_acid	Deoxycholic_acid	Lithocholic_acid	Chonodeoxycholic_acid	Taurine-Cholic_acid	OTU_2	OTU_12	OTU_1	OTU_4	OTU_10	OTU_14	OTU_6	OTU_26	OTU_8	OTU_9	OTU_22	OTU_16	OTU_20	OTU_35	OTU_37	OTU_29	OTU_85	OTU_25	OTU_60	OTU_13	OTU_36	OTU_207	OTU_30	OTU_38	OTU_63	OTU_57	OTU_44	OTU_17	OTU_59	OTU_19	OTU_151	OTU_43	OTU_24	OTU_3	OTU_51	OTU_39	OTU_165	OTU_32	OTU_219
V1.HFW.CD	91.08382773	1120.694705	1423.598945	56.84530321	8.219554395	3.09271498	0	1.550256972	17.75212739	0	2.072626169	0.985761227	3.395399781	0	2.173729885	0	0	2.645547224	1.14584211	0.842530963	0	0	1.423877327	2.451765102	0.985761227	5.93141798	0.985761227	0.893082821	0	0.572921055	0.733001938	0.623472913	1.59238352	0	0.564495745	0.513943887	0	0.67402477	0	16.90117112	0	0	1.14584211	2.030499621	0
V10.HFW.HFD	151.5581171	1368.985856	3519.592368	283.8024545	9.409111678	15.57917511	8.567096285	4.106646449	0	2.274450341	0	2.501895375	1.718473591	0	3.373768006	6.974981046	3.86656558	8.756633813	1.465756887	0	0	2.880970432	0.53070508	0	1.099317665	0	1.832196108	1.187768511	0	1.64265858	0.669699267	1.541571898	0.922415972	3.942380591	0	2.274450341	0	0	2.438716199	1.175132676	2.299722012	3.904473086	1.415213546	0.720242608	2.906242103
V11.HFW.HFD	1028.571004	3329.622948	4355.408455	231.2369806	20.64621367	1315.542112	10.52863436	4.878854626	0	1.640969163	0	2.433920705	0.95814978	0	1.839207048	5.231277533	4.052863436	8.623348018	1.420704846	0	0	1.530837004	1.431718062	0.825991189	2.125550661	0	2.103524229	1.244493392	0	3.557268722	0	1.674008811	0	1.850220264	0	2.797356828	0.594713656	0	3.436123348	0.539647577	3.237885463	3.90969163	1.784140969	0	2.36784141
V12.HFW.CD	773.1665828	2945.613748	1810.557744	165.5790003	12.05827266	1211.813523	0	4.987664915	4.826772498	15.00589939	1.480210233	3.09986056	5.373806715	1.490936394	2.778075727	3.743430226	0.815188244	3.378740749	2.42411241	1.104794594	0.632843505	1.319317816	0	1.533841038	1.287139333	9.181593908	0.943902177	0.825914405	1.104794594	0	1.362222461	0	0.740105116	0.707926633	0.815188244	0	1.308591655	1.791268905	0	2.917515821	0	0	0.643569666	0.665021989	0
V13.SPF.CD	342.5568553	1026.617105	2560.313083	157.2590616	16.90292628	4.361006995	6.296917778	2.508169213	9.944361035	5.758191292	4.371632959	2.69363243	6.332244105	2.976243045	1.722158439	1.466042568	1.695663693	1.898790073	1.174600371	1.262916188	1.0156319	0.997968736	1.130442462	0.971473991	0.671200212	5.49324384	0.565221231	0.591715976	0.794842356	0	1.501368895	0	0.997968736	0	0	0	0	3.938885454	0	0	0.547558068	0	0.644705467	0	0
V14.SPF.CD	227.4375746	1436.135551	2874.451237	153.082888	7.53987672	4.34222191	2.245614035	2.085213033	24.68170426	12.45112782	1.09273183	2.275689223	1.363408521	1.854636591	0.761904762	2.035087719	0	2.305764411	1.062656642	0.691729323	0.751879699	0.681704261	1.573934837	1.92481203	1.674185464	6.305764411	0.501253133	0	0	0.912280702	1.483709273	0	0.601503759	0	0	0	0	2.726817043	0	0	0	0	0.501253133	0	0
V15.SPF.CD	20.17057537	862.6286804	1666.366504	157.8866575	1.166793832	4.026026689	4.256173459	2.740413572	9.425818109	15.43866693	1.887171251	2.780566151	1.375225858	2.198353744	1.867094961	0	0	2.629993977	2.328849629	0.632403132	0.983738205	0.692632002	1.545874322	3.563541458	1.304958844	2.810680586	1.003814495	0	0	0.903433046	1.05400522	0	1.07408151	0	0	0	0	4.416783778	0	0.863280466	0	0	0	0.782975306	0
V16.SPF.CD	65.58988185	1139.587569	1526.03839	85.27143891	2.251785077	141.9742957	4.216016516	1.629903292	32.36987939	7.095512333	0	0.597631207	2.759969575	0.999674019	1.847223731	2.075410192	0	5.596001304	0	0	1.3365207	0.760621536	2.444854939	1.738563512	3.835705748	2.640443334	2.368792785	1.054004129	0	2.977290014	0.869281756	0.684559383	0.641095295	0.597631207	0.619363251	0	0.880147778	0.880147778	0.847549712	0.901879822	1.445180919	0	0.630229273	0	0
V18.SPF.CD	174.1658348	1546.374915	2487.368091	101.2670733	6.781856915	4.443718593	10.78106635	5.855326424	7.233678812	13.49503152	6.560529971	3.953413826	3.387114008	2.884923603	2.681910461	2.842183994	2.713965167	4.295330698	1.987391815	1.645474944	1.399722193	2.286569078	1.463831606	1.549310824	1.282188268	1.848488086	0.993695908	1.079175126	0.769312961	0.737258254	0.972326103	0.747943156	1.453146704	0.726573352	1.153969441	0.587669623	0.641094134	1.239448659	0.662463938	0	0.993695908	0	0	0	0
V19.SPF.HFD	755.6828012	2157.201043	3527.285622	83.28253201	23.09168858	284.8093036	17.92336218	2.527125395	0.604312594	6.345282241	3.255047384	0.535640709	4.161516275	0	3.062766104	1.9228128	0	5.562422744	1.758000275	0	0	1.098750172	6.125532207	0	0.76912512	0	1.194890812	0.659250103	2.101359703	0.590578217	0	0	2.952891086	4.504875704	0	4.916907018	0	0	2.087625326	0	3.035297349	6.070594699	0	0	3.378656778
