#SampleID	Facility	Diet	Facility_Diet	Cholic_acid	Muricholic_acid	Deoxycholic_acid	Lithocholic_acid	Chonodeoxycholic_acid	Taurine-Cholic_acid
1.CON.CD	CON	CD	CON_CD	91.08382773	1120.694705	1423.598945	56.84530321	8.219554395	3.09271498
10.CON.HFD	CON	HFD	CON_HFD	151.5581171	1368.985856	3519.592368	283.8024545	9.409111678	15.57917511
11.CON.HFD	CON	HFD	CON_HFD	1028.571004	3329.622948	4355.408455	231.2369806	20.64621367	1315.542112
12.CON.CD	CON	CD	CON_CD	773.1665828	2945.613748	1810.557744	165.5790003	12.05827266	1211.813523
13.SPF.CD	SPF	CD	SPF_CD	342.5568553	1026.617105	2560.313083	157.2590616	16.90292628	4.361006995
14.SPF.CD	SPF	CD	SPF_CD	227.4375746	1436.135551	2874.451237	153.082888	7.53987672	4.34222191
15.SPF.CD	SPF	CD	SPF_CD	20.17057537	862.6286804	1666.366504	157.8866575	1.166793832	4.026026689
16.SPF.CD	SPF	CD	SPF_CD	65.58988185	1139.587569	1526.03839	85.27143891	2.251785077	141.9742957
17.SPF.CD	SPF	CD	SPF_CD	NA	NA	NA	NA	NA	NA
18.SPF.CD	SPF	CD	SPF_CD	174.1658348	1546.374915	2487.368091	101.2670733	6.781856915	4.443718593
19.SPF.HFD	SPF	HFD	SPF_HFD	755.6828012	2157.201043	3527.285622	83.28253201	23.09168858	284.8093036
2.CON.HFD	CON	HFD	CON_HFD	658.884677	3578.276507	4613.709459	243.837327	15.40390613	27.80212954
20.SPF.HFD	SPF	HFD	SPF_HFD	134.5116952	2038.89837	4556.363049	332.0854687	17.73212243	10.39538856
21.SPF.HFD	SPF	HFD	SPF_HFD	258.5543231	1316.12489	3578.413007	283.2203594	16.34409441	1242.683853
22.SPF.HFD	SPF	HFD	SPF_HFD	839.0187497	2324.535538	3075.966003	190.964702	26.76164065	604.5748971
23.SPF.HFD	SPF	HFD	SPF_HFD	NA	NA	NA	NA	NA	NA
24.SPF.HFD	SPF	HFD	SPF_HFD	850.7323605	1001.782492	2405.245003	149.0080728	25.01826585	479.5770968
3.CON.CD	CON	CD	CON_CD	31.1397895	1789.611976	1926.024534	108.8530945	2.053461252	3.385502977
4.CON.HFD	CON	HFD	CON_HFD	96.57664502	1523.306444	3984.614981	112.880627	4.003302887	65.99887407
5.CON.CD	CON	CD	CON_CD	119.8867088	630.0180439	516.5290252	30.15462371	4.04370028	14.66166975
6.CON.HFD	CON	HFD	CON_HFD	579.9061871	2402.681093	4847.49889	190.7811141	17.49698357	177.8771346
7.CON.CD	CON	CD	CON_CD	57.71566811	836.1962441	548.2798385	27.58194369	2.673041686	120.6086432
8.CON.HFD	CON	HFD	CON_HFD	1386.557073	3235.026591	4497.418202	139.9994427	28.23419597	106.6889132
9.CON.CD	CON	CD	CON_CD	24.8246208	1004.331919	1652.638293	197.940666	4.145607777	2.670620576
