	S16_52	S16_29	OB18	S16_24	CS2B	S16_2	CS12A	S16_28	S16_39	S16_41	S16_30	S16_5	OB17	S19_22	S19_25	OB4	CS7A	S16_56	S19_31	S16_57	S19_3	CS14A	OB14	CS1A	OB33	S16_31	S16_17	S16_15	CS4B	CS6B	OB5	S16_22	OB27	S16_7	S16_34	OB6	OB12	S16_50	CS8A	CS10B	CS3A	OB21	OB7	S16_10	S16_14	S16_23	CS10A	CS13A	S16_6	S16_44	OB26	OB16	OB31	S19_42	CS2A	S19_27	S19_18	CS5A	S16_49	OB19	S16_19	S19_26	S16_36	S19_12	S16_53	S19_5	OB29	S16_32	OB23	S16_48	S16_37	CS11A	S16_27	S19_29	S16_8	OB15	S19_13	S19_33	S16_51	S16_35	S19_4	S19_24	S19_10	S19_32	S19_43	S16_12	S16_33	OB24	CS17B	S19_38	S16_55	S16_38	S16_58	S19_45	OB10	OB22	CS16B	CS8B	S19_39	S16_61	S19_1	S19_8	CS9B	OB30	S19_34	OB36	CS7B	CS12B	CS13B	S16_54	OB11	S19_28	S19_23	S16_64	OB32	S16_20	S19_36	S16_40	OB1	S19_40	CS18B	S16_13	S16_21	S16_26	S16_3	S16_47	S19_37	OB28	S16_59	S19_16	OB25	CS15B	S19_44	OB20	S19_11	S16_1	S19_19	OB8	S16_16	S16_18	S19_7	S19_35	S16_43	CS14B	OB35	S16_60	OB13	S16_46	CS17A	S16_4	S16_25	S16_9	CS5B	S19_15	S19_14	S19_21	S19_41	OB3	OB9	OB34	OB2	S19_30	S16_45	S19_9	CS18A	S19_2	S16_42	CS15A	CS3B	S16_63	CS16A	CS1B	S16_11	S19_6	S19_20	CS4A	CS6A	CS11B	S19_17	S16_62	CS9A
OTU_1	4.24343941931882	12.2481589551202	0.046592894583576	1.57482114694521	8.02269235314975	22.8240205762851	6.22217548287587	7.18785884981844	7.75075987841945	24.6497230368198	15.7776576726396	15.4144449830344	12.0452209660843	6.54639663833686	3.14069204784077	7.00059221394508	9.00035858002311	4.19533553748548	0.0128139415684264	22.6985844378325	18.3978535837486	4.56465122826776	5.71978182526541	0.0217114853757638	9.80630879911455	34.6634407048967	4.21341512632174	6.79760937681328	0.0378521602768615	0.00241301095506974	30.1601743002849	3.10221046665407	14.5306546588154	10.2734584450402	9.86509627030865	0.130899069927661	2.43243796158016	27.0384133431275	19.7342288665006	10.812216080127	17.1390512839488	15.0543549443353	23.8414600626684	16.5639885677993	4.55067360685854	0.674335581118604	4.82962680156533	3.2054046284318	15.0922024375878	3.7170287622493	0.00262453414518923	8.63235545567796	6.66373969461925	2.55935375825042	1.28661772188704	9.39639817929943	13.959804454101	2.75128644939966	0.470385918769916	8.176782740055	7.98488069926766	12.4870645050017	10.6312945222304	12.3486313218683	32.7466180270558	1.2369205183286	1.00593601848532	28.6861103089807	10.2833731649027	12.9797421731123	35.7019621604234	8.84302822925577	8.51924975320829	9.2042651543108	5.67286320468782	6.11466535433071	8.89190506020742	7.37688891371749	3.71396034991459	8.21746465762988	5.31588356326104	9.27527358995944	13.4344304669998	27.1552923407131	15.43865057694	4.82745098039216	23.9572072911619	9.65943706591934	0.00851426138782461	5.12295081967213	4.88462835396695	3.45911949685535	14.9259242165505	10.2671976363286	11.3985109580901	0.697438498605123	32.3528541413902	3.53906858924396	7.9203062125822	8.98742087102997	1.31023496614894	25.4423097796592	1.03277060575968	42.0520273216102	23.1941121240573	16.2665596146126	6.86468442850961	13.2594033394801	4.18571084917007	28.3453002610966	11.1007993294015	28.8937834314739	20.6096925482022	7.85201024391457	15.5909770155839	18.7578234297916	29.4468062061683	24.7091906242359	26.3241590214067	10.787269681742	4.2140169156824	18.1162172426889	16.5942144434076	40.7012719147473	15.1438507745811	18.2009234198376	16.5522206224388	4.51714337546109	19.5384083443785	6.73629688656156	0	2.82913587694164	1.8195338461181	35.4629943982346	13.9638101741209	15.2678740455607	0	6.52031454783748	23.2692307692308	0.319333845345406	24.4976905311778	7.24930295163927	19.072784049964	7.15316297412549	9.60826283423368	7.22738081757445	17.915488909117	16.7038052793966	1.40109651031242	21.9882055602359	6.26800908505373	14.2315360610264	1.5791119449656	8.48462966783577	2.32292247629671	12.0717541538009	7.94486603685922	6.720750815239	11.1989960832034	4.69439489249836	2.30294204891729	4.40910622912645	25.9964427197025	0.478270866865946	5.29210169761696	0.0052443885043004	0.622878460280295	2.02285072110882	11.759432491425	9.20187199595244	11.6839345899388	16.5276907504699	8.67137959282745	0.0292673408994829	6.85555603766217	9.37696664568911	6.10972568578554	9.91113601793291	20.2368524076732	9.09956215495907	3.64502071340184
OTU_10	0.474595198213289	0	0.003882741215298	0.0228566204201047	2.29050939605248	0.939352145226824	2.54495740877064	0.248285279786475	0.17403667026179	0.168350168350168	0.133039537687607	0.175248890711809	0.469828219057407	0.331743072888692	0.378891627864512	0.910139326122869	2.01601657436551	0.14743990706818	1.53446950281907	0.559011811378595	0.735217254956619	0.337861617512494	1.40985682283043	0.00620328153593251	0.0147574248293673	0.512783475371949	0.520623133424812	0.0319136590460717	0.0648894176174769	0	5.25055665956377	0.729265067069715	1.99861447869761	1.19034852546917	0.275654679864679	0.554598691009301	0.00204578466070661	0.514194356824958	1.07608420900589	0.78266104756171	0.0703026715015171	0	0	0.427648989097068	1.0142375995101	0.022037110494072	0.999013712576755	1.0253461741172	0.550496126138372	0.0357788864815441	2.64815495249593	1.9956520677105	2.65622713303088	0.0453157324401537	1.01766373482591	0.657035424500297	0.506970849176172	0.840480274442539	0.0202316524202114	1.36344269279932	0.727616347743917	0.744098950376977	0.262834684352739	0.478274142668159	0.103359173126615	0.0103942900699882	0.250986016493367	0.00288766965059197	1.24615909866849	0.128913443830571	1.23110214346288	0	0.490292859493254	0.376794142210655	0.363709840371792	0.169783464566929	0.160089093060486	0.659199463702131	0.577152026502407	0.0872651114084589	0.785914257766384	0.558659217877095	0.644494227123901	0.763146388966175	1.40491500044041	0.309803921568627	0	0.472157913975874	4.3479494820491	0.221714592851384	0.0192687509032227	0.241896468311563	2.01227673420409	1.25570043034235	1.988884616729	0.0951052498097895	0.787145266771225	0.755066250974279	0.387672980665423	0.410248050642541	0.748705694942254	0.596982524693368	0.174335209091912	0.0348786513588141	0.484598843020262	0	1.9533906163071	0.573420567357971	1.36155881645417	1.57201914708442	0.745442026165315	0.60232840382973	0.486364425916276	1.24816628956463	3.25553262648545	0.717914733819306	0.890850504995803	0.663709085828064	2.63975535168196	0.435510887772194	0.413577256976787	1.1478246191501	0.0842114846257141	0.375011719116222	0.200231847402255	1.25457729660882	0.578690884926348	0.29328173187398	0.535930386676655	0.492344470373954	0	0.561001357261348	0.018590384123812	0.47105754540825	0.516997512559138	0.236637849435224	0.030122296523887	2.07613487430001	0.172215843857635	0.0606330086098872	1.09699769053118	0.999903855398519	0.461205861157819	3.23832120298823	1.73614650222539	1.40131355452384	0.812053849470608	0.0685635927322592	1.89278565834131	0.08424599831508	0.0338994542187871	0.494105409153953	0.0977173233270794	0.278522797606767	0.398773006134969	0.377395481056707	0.538949976769398	1.46743020758769	0.361257938167852	2.59600037555159	0.488094275004719	0.00306400710849649	0.594227504244482	0.0735801333639917	0.8209133657448	0.540172015942941	0.0336085500151238	0.107698070799775	0.00779544745868413	0	0.0582532351350227	0.843495445124596	0.339816135198277	0.0552827550323567	0.629149130038617	1.85816965320791	1.87863674147963	3.67464574493635	0.913480360172256	0.133257186369693	1.04374024856082
OTU_100	0	0	0	0	0	0	0	0.00620713199466187	0	0	0	0	0	0	1.03168081804072	0.31792538104292	0	0	0.00961045617631984	0	0	0	0	0	0	0	0.359189603680684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.107970784375992	0.428658909981629	0.00881484419762881	0	0	0	0.216661034804906	0	0.00244265858960893	0	0	0.0472486734026314	0	0	0.0548885077186964	0	0	0.538625088589653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.07259573754923	0	0	0.178770195972611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.338510553564317	0	0	0.00290655427990118	0	0.188679245283019	0	0	0	0	0	0	0	0	0	0	0.00270775229482007	0	0	0	0	0.151917964299278	0	0	0	0	0.00276885590873851	0.0725645522162424	0	0	0	0	0	0	0	0	0	0	0	0	0.0173210161662818	0	0	0	0.00679509394217375	0	0	0	0	0	0	0	0	0	0	0.323481840905749	0.817717206132879	0	9.02004030878047	0	0	0	0	0	0	0	0	0	0	0.0189729319504174	0	0	0	0	0	0.619389884402637	0	0	0	0	0
OTU_101	0	0.27441989717938	0	0.0868551575963978	0.00945514714572745	0	0.553861254250359	0.0186213959839856	0	0	0.0623622832910656	0.0708452962451993	0.246659815005139	0	0.00912991874372318	0.0124676620016831	0.00796844495796645	1.70672862121348	3.04010763710917	0.452318696841283	1.3728701348479	0.0316745266417963	1.66553033992403	1.64386960702211	1.12525364323925	0	0.0928242796028735	3.52500870372519	0	0	0	0	0	0.0178731009830206	0.00835317211711147	0	0	0.00864192196344467	1.19163687574477	4.2115921405506	0.0777029527122031	0.128356254092993	0.00274861195096476	0.0762146713242299	1.60747091243111	0.0749261756798449	0.120899748655786	0.416846341814	0	0.0397543183128267	2.40144874284814	0.163658125503798	0.0512220108297966	0.0118214954191705	0.0436141600639674	0.201860281021176	0.0633713561470216	0.0102915951972556	0.0404633048404228	0.00387341674090715	2.09307819513347	0.744098950376977	0.11545074920167	1.61799124860079	0	0.0970133739865567	0	0.620848974877274	0.488221235916695	0	0	0.0035642999714856	0.0394866732477789	0.450599180375629	1.81097191351788	0.324803149606299	1.80622259344331	0.0391050529314824	0.574563900823024	0	0.00674604513104193	0.142853498635239	0.0241254523522316	0	0.0220206112921695	0.113725490196078	0.797703805867223	1.06311685146826	0	3.34587476484816	0.0240859386290284	0.00302370585389453	0.0969215858217566	0.00321151005202646	0.0419448425320703	0	0	0.00730709275136399	1.35440180586907	0.00543374901513299	0.860215053763441	0	0.0066203243958954	0	0.0484598843020262	1.13608992372541	0.336898065154231	0.0277868997398136	0.813086360356026	2.10509138381201	0.571804927701105	1.09228210545242	0.499392044467605	0	0.00355795915462891	0.00736322803917237	0	0.0314388514339609	0	1.36608970779825	0.0111777637020753	0.375574967295438	0.00455197214193049	0.243757617425545	0	0	1.07431609259054	0.0090705690270303	0.0288134616492825	0.116682793556833	0	0.220177952043432	0.013942788092859	0.10185028008827	0.0292640101448568	0.0347068845838329	0	0.0268080543309901	0.238231917336395	0.00808440114798496	0.900692840646651	0.0769156811845015	0.0528465049243334	0	0.0917337682193456	0.29724832974748	0.481483255880803	0	0	0	0	0.0606796116504854	0.00390869293308318	1.6711367856406	0.883993307306191	0.0882223202470225	0.012389654638377	0.274397518492007	0.764345742860402	0.410759553093606	0.0458431087021007	0.177712412292797	1.85544506427359	0.0137962750057484	0	0	0.00560142500252064	0.0889679715302491	0.00389772372934206	0.0189729319504174	4.63945408396788	1.74965055188702	0.0121362905427956	0	0.0997960689026771	0	0.14546965918537	0.0200144103754703	0.055461307581887	0.0142775556824672	0.0134502609350621
OTU_102	0	0.0138946783381965	0.007765482430596	0.0068569861260314	0.602765630540125	0.00745517575576844	0.0525817646440215	0	0	0.00814597588791137	0.0207874277636885	0.0111860994071367	0.00293642636910879	0.120059397807336	0.132383821783986	0.202599507527351	0.12351089684848	0.00893575194352605	0.0480522808815992	0	0.0174222098330952	0.0774266206799465	0.474822246030973	0.772308551223597	0.199225235196458	0.00361115123501372	0.0686092501412543	0.0145062086573053	0.286594927810523	0.00241301095506974	0.33758709028659	0.0188928773852258	0.256321440942154	0.0464700625558534	0.0167063442342229	0.0310024112986566	0.0511446165176654	0.0151233634360282	0.361102083559022	0.00820973126812982	0.059202249685488	0.180746561886051	0.255620911439723	0.0402244098655658	0.00382731169626454	0	0	0.0191653490489196	0.0815549816501291	0.0278280228189787	0	0.483646400742568	0.400019513146983	0.0571372278593242	0.188994693610526	0.0514545814367702	0.0271591526344378	0.00686106346483705	0	0.836658016035945	0.0047247814788566	0.00492780761839058	0.0221075902726603	0.0457922051490791	0	0	0.00398390502370424	0.0115506786023679	0.133151246159099	0.0147329650092081	0	0.0071285999429712	0	0.0349602812360402	0.0202061022428774	0.00738188976377953	0.132247511658662	0.243009971788498	0.0491743879082768	0.0319972075164349	0.0303572030896887	0.00510191066554425	0.00689298638635189	0.0119241623275965	0.0198185501629525	0.0352941176470588	0.0223655272673053	0.00304618009016693	0.777635873421314	0.0201558720773985	0.014451563177417	0.169327527818094	0.0923062722111967	0.089922281456741	0	0.133147349733705	0.103571745627793	0.019485580670304	0.157032093434096	0.00815062352269949	0.0597371565113501	0.0108542277216976	0.412666887344147	0.0203458799593082	0.275615591967774	0.100361300682457	0.0339988873091426	0.0176825725616995	0.365648304065432	0.0489556135770235	0.203574529233901	0.341619094709399	0.121591106479069	0	0.0177897957731445	0.099403578528827	0.0189542660637405	0.00174660285744227	0.00244648318042813	0.0260562069607296	0.447110548083014	0.0590792083386083	0	0	0.00351283942810974	0	0.0802968213534168	0.0030235230090101	0.0864403849478476	0.0170755307644146	0.10995958985073	0.00904840898808626	0.013942788092859	0.0466813783737905	0.00487733502414281	0.0252413706064239	0	0.0476587632550935	0.0114810562571757	0.161688022959699	0	0.00640964009870846	0	0.0769502068036808	0.0679509394217375	0.0934209036349224	0.371293058017535	0.0042852245457662	0.0130536941954573	0	0.0203396725312722	0.0151699029126214	0.199343339587242	0.0979987621208995	0.239821528165086	0	0.10221465076661	0.115326493279249	0.0456325816633076	0.0727631208337245	0.312811800555511	0.00919202132548948	0.12531328320802	0.0689813750287422	0.0239100980314019	0	0.00672171000302477	0.0561902978085784	0.062363579669473	0	0	0.0530197136935461	0.0030340726356989	0.0585346817989659	0.0477285546925847	0.0529959259381935	0.0706566916043225	0.372268032983748	0.058723737439645	0.0142775556824672	0.00807015656103728
OTU_1021	0.0076138267093041	0.00347366958454912	0.287322849932052	0.0137139722520628	0.323838789741165	0.0447310545346107	0.410137764223367	0.0558641879519568	0.0563780762819884	0.00271532529597046	0.0291023988691639	0.0932174950594728	0.0411099691675231	0.0821459037629143	0.022824796859308	0.498706480067325	0.402406470377306	0.0134036279152891	0.121732444900051	0.299041264689087	0.076657723265619	0.211163510945309	0	0.620328153593251	0	0.0758341759352882	0.0524658971668416	0.188580712544969	0	0.533275421070412	0.294490865994685	0.0188928773852258	0.25978524419813	0.221626452189455	0.0835317211711147	0.144677919393731	0.25367729792762	0.0432096098172233	0.0938865417253458	0.279130863116414	0.292311107822097	0	0.189654224616569	0.838361384566529	0.103337415799143	0.0044074220988144	0.429512264961344	0.124574768817977	0.106474559376557	0.00993857957820668	0.301821426696761	0.344414861134859	0.117078881896678	0.023642990838341	0.123573453514574	0.00791608945181081	0.144848814050335	0.751286449399657	0	0.1084556687454	0.0850460666194189	0.123195190459764	0.0245639891918448	0.0508802279434212	0.0851193190454476	0.0831543205599058	0.0497988127963029	0.153046491481375	0	0.0257826887661142	0.204696318390502	0.488309096093527	0.0263244488318526	0.077689513857867	0.0277833905839564	0.0861220472440945	0.0382821744275075	0.0586575793972235	0.0750556447021067	0.00872651114084589	0.0472223159172935	0.0841815259814801	0.0482509047044632	0.127191064827696	0.242226724213864	0.0392156862745098	0.0149103515115369	0.194955525770684	0.871292748687385	0.0638269282450954	0.0409460956693482	0.130019351717465	0.129228781095675	0.0224805703641852	0.286623090635814	0.586482373827035	0.358062320598941	0.0803780202650039	0.00981450583963098	0.0706387371967289	0.0199123855037834	0.0379897970259416	0.194196182279598	0.392384827786659	0.033316170457643	0	0.679977746182852	0.113673680753783	0.293480875631465	0.0598346388163621	0.0808310630781666	0.0179799523531263	0.0781657113079729	0.0497277406201049	0	0.261394595390619	0.0812325688446021	0.0646243057253642	0.763302752293578	0.0186115764005211	0.182570140467231	0.109718529771701	0.00455197214193049	0.13437919934998	0.175641971405487	0.0541315077217004	0.179975634068003	0.547257664630828	0.0172880769895695	0.0256132961466219	0.393105533716359	0.105564771527673	0.013942788092859	0.103972160923443	0.0829146954104277	0.0473275698870449	0.0240978372191096	0.268080543309901	0.0143513203214696	0.0161688022959699	0.0173210161662818	0.0993494215299811	0.0672591880855153	1.11898425727019	0.169877348554344	0.212320235533915	0.874335265654194	0	0.278478809503089	0.08424599831508	0.18305705278145	0.0975208044382802	0.261882426516573	0.051578295853105	0.075292805354155	0.0245062000686174	0.170357751277683	0.190885230255309	0.231965623455147	0.201858980377429	1.14877437100558	0.116432270122867	0.234457110518231	0.0965739250402391	0.530007173029409	0.0367107195301028	0.0817808050368014	0.140475744521446	0.218272528843156	0	0.278783339574751	0.515737215019039	0.0819199611638703	0.0325192676660922	0.0520675142100924	0.142426550958895	0.12884455527847	0.240172924505644	0.176171212318935	0.0571102227298686	0.406197880238877
OTU_103	0.025379422364347	0	0	0	0.326202576527597	0.0149103515115369	0.255897921267571	0	0.0220609863712129	0	0	0	0	0.0126378313481407	0.0273897562311695	0.171430352523143	0.569743814494601	0.00446787597176302	0	0.120217593844859	0.0418133035994286	0.00351939184908848	0.29219830524983	0	0	0.296114401271125	0.0363225441924288	0.0116049669258443	0.00540745146812307	0.451233048598041	0.0167596427801853	0.0340071792934064	0.723934880498788	0.0214477211796247	0.121120995698116	0.103341370995522	0	0.198764205159227	0.184162062615101	1.46406874281649	0.125804780581662	0	0	0.169365936276066	0.0114819350887936	0.0132222662964432	0.39133339696478	0.129366106080207	0	0	0.00262453414518923	0.0903783678155304	0.170740036099322	0.0177322431287558	0.377989387221051	0.0277063130813378	0.108636610537751	0	0	0.100708835263586	0.0330734703519962	0.448430493273543	0.0343895848685827	0.274753230894474	0.0395196838425293	0.0450419236366156	0.191227441137803	0	0.542847388187095	0.121546961325967	0.418165336140597	0.0035642999714856	0.0888450148075025	0.0466137083147202	0.0277833905839564	0.0492125984251969	0.0348019767522795	0.0502779251976202	0.0362337595113619	0	0.0168651128276048	0.153057319966327	0	0.170912993362216	0.451422531489474	0.0470588235294118	0.0931896969471055	0.46606555379554	0	0.0604676162321956	0.0120429693145142	0	0.0692297041583976	0.0545956708844499	0.157293159495264	0.114126299771747	0	0	0.0736087937972323	0.192898090037221	0.10752688172043	0	0.225091029460444	0	0.0242299421510131	0	0.364715336588984	0.250082097658322	0.115467885494347	0.0108790252393386	0.200580786156932	0.0359599047062525	0.0651380927566441	0.0497277406201049	0	0	0.0839403211394222	0.136235022880497	0	0.19356039456542	0.122955400722829	0	0.0318638049935134	0.13437919934998	0	0.149657697818819	0.0664525418097242	0.126987966378424	0.0374575001440673	0.0939154192042803	0	0.0935002262102247	0.0790091325262008	0.795705313189611	0.12193337560357	0.0220861992806209	0.030122296523887	0.0565947813654236	0	0.0121266017219774	0.00577367205542725	0.118578341826106	0.00960845544078789	0	0.448476200183468	0	0	0	0.104429553563659	0	0.149157598562663	0	0.0156347717323327	0	0.136642498605689	0.093123560260746	0.0371689639151309	0.155094249582439	0	0.136137451882452	0.234608850416633	0	0.12531328320802	0.00459875833524948	0.402486650195266	0.052443885043004	0.0112028500050413	0.0234126240869077	0.229965700031182	0.0379458639008348	0.586693296717014	0.568756928712585	0.0849540337995692	0.00650385353321843	0.0086779190350154	0.781689907588354	0.058187863674148	0.164118165078857	0.130497194310322	0.0523510375023796	0.54339054177651
OTU_104	0	0	0	0	0	0	0	0.0434499239626331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.389252497416466	0	0	0	0	0	0	0	0	0	1.34426374013839	0	0	0	0	0	0	0	0	0	0	0	0	2.45308785595063	0	0	0	0	0	0	0	0	0	0	0	0	0	0.023033892727871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.63370104532974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.50571445848703	0	0	0	0	0	0	0	0	0	0	0	3.05186143336432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.13817436831323	0	0	0	0	0	0	0
OTU_1041	0	0.00694733916909824	0	0	0	0	0	0.0248285279786475	0.00245122070791254	0.0841750841750842	0.041574855527377	0.0671165964428204	0.0323006900601967	0.0157972891851758	0	0	0	0.0178715038870521	0	0.0495897574610044	0.0627199553991428	0	0.00973994350832765	0	0.00368935620734182	0	0.0282508677052224	0	0.0216298058724923	0.00241301095506974	0	0.0151143019081806	0	0.0857908847184987	0	0	0	0	0.0288881666847218	0	0	0	0	0.00423414840690166	0	0	0.0318157233304699	0.0287480235733793	0.0203887454125323	0	0	0.00977063435843572	0.00487828674569491	0	0.0399796467253035	0.0158321789036216	0	0	0	0.0193670837045358	0	0	0	0.0305281367660527	0	0.00346476335666274	0	0	0	0	0.154984355352809	0	0	0.00194223784644668	0	0	0	0.00279321806653445	0.0310575081525959	0	0.0202381353931258	0	0.0551438910908151	0.0476966493103859	0	0.0235294117647059	0.00745517575576844	0	0.00283808712927487	0.0167965600644988	0	0	0.027691881663359	0.0513841608324234	0.0244678248103744	0.00317017499365965	0	0	0	0	0.0438072481083234	0.0054271138608488	0.0044135495972636	0	0	0	0.043271311120727	0.00252608179452851	0.0433004570603801	0.0870322019147084	0	0	0.0347403161368768	0.134264899674283	0	0.0552242102937928	0	0.019212631431865	0	0.122836404243439	0.00372592123402511	0.0886188125079124	0	0	0	0.0796051584142652	0	0.0030235230090101	0.0749150002881346	0	0.338125738790994	0.0180968179761725	0	0	0	0.0473275698870449	0.0060244593047774	0.0208507089241034	0	0.00404220057399248	0.023094688221709	0.041662660641605	0.00480422772039395	0	0.0237828287976081	0	0	0.064278368186493	0.0304586197894004	0	0.0169497271093935	0.0281726768377254	0.0312695434646654	0.0154734887559315	0	0.0196049600548939	0	0	0	0.0164303821237442	0	0	0	0	0	0	0.00448114000201651	0.00936504963476306	0	0	0	0	0.0060681452713978	0	0	0.00331224537113709	0.00415627597672485	0	0	0.0380734818199124	0.0107602087480497
OTU_105	0.0736003248566063	0	0.003882741215298	0.034284930630157	0	0.00372758787788422	0	0	0.0735366212373762	0	0.0831497110547541	0.0559304970356837	0	0.00947837351110549	0	0.140261197518935	0	0.116164775265839	0.00320348539210661	0.299041264689087	0.076657723265619	0.0774266206799465	0	0	0	0.176946410515672	0.0847526031156671	0.00580248346292213	0	0.395733796631437	0	0.0113357264311355	0.0865950813993765	0	0.0292361024098902	0.0413365483982088	0.0777398171068513	0	0.0866645000541653	0	0.122104639976319	0	0	0.556790515507569	0.29470300061237	0.022037110494072	0.0445420126626579	0.00958267452445978	0	0	0.314944097422707	0	0.0146348602370847	0.0177322431287558	0.0218070800319837	0.0356224025331486	0.190114068441065	0.0754716981132075	0.0151737393151586	0	0.401606425702811	0.586409106588479	0.149840334070253	0.36124961839829	0.528955768353853	1.45520060979835	0.123501055734831	0	0	0.114180478821363	0	0	0.0493583415597236	0	0.442008486562942	0.125492125984252	0.285376209368692	0.427362364179772	0.00517625135876598	0.305427889929606	0.738691941849091	0.380092344583046	0	0	0.502069937461464	0.0470588235294118	0.126737987848064	0.286340928475691	0	0.231792528890083	0	0.00604741170778907	0.124613467485116	0.0128460402081059	0.56275997063861	0	0.112449323824461	0.00730709275136399	0	0.0597712391664629	0.302668259657507	0	0.0088270991945272	0	0	0	0.0401805031835322	0	0.0625451046427712	0.0108790252393386	0.0149687153848457	0.184294511619544	0.66440854611777	0	0	0.0110448420587586	0	0	0	0.308952168248651	0.0111777637020753	0.299615985145799	0.198010788173976	0	0	0	0	0.837515873495797	0.435083270904166	0.167909385850077	0	0.0271452269642588	0.0813329305416773	0	0	0.100965482425696	0.0120489186095548	0.0119146908137734	0.186567164179104	0.0282954040179474	0	0.301253084639298	0.00960845544078789	0.00320625861682003	0	0	0	0	0.265425115307632	0.16849199663016	0.528831485813078	0.225381414701803	0	0	0.276073619631902	0.00490124001372347	0.0216818956171597	0.0119303268909568	0	0	0	0	0	0.0183950333409979	0.011955049015701	0	0.0985850800443633	0	0	0	0.24965672200724	0	0	0	0.147524623595262	0.168924513927992	0	0	0.518726347383531	0.347420521606701	0.185613600903858
